Time_s,HydraulicForceZ_dyne,Fz_uN
0.0030,39.7555,397.555
0.0060,28.5354,285.354
0.0090,21.6197,216.197
0.0120,16.4972,164.972
0.0150,11.7175,117.175
0.0180,8.17799,81.7799
0.0210,6.88296,68.8296
0.0240,6.72537,67.2537
0.0270,6.00802,60.0802
0.0300,5.98334,59.8334
0.0330,5.47066,54.7066
0.0360,5.40319,54.0319
0.0390,5.32076,53.2076
0.0420,4.92359,49.2359
0.0450,4.21156,42.1156
0.0480,4.29135,42.9135
0.0510,3.9151,39.151
0.0540,4.00953,40.0953
0.0570,3.79773,37.9773
0.0600,3.24699,32.4699
0.0630,3.09428,30.9428
0.0660,2.88235,28.8235
0.0690,2.70162,27.0162
0.0720,2.51668,25.1668
0.0750,2.29703,22.9703
0.0780,2.49839,24.9839
0.0810,2.5204,25.204
0.0840,2.63042,26.3042
0.0870,2.38078,23.8078
0.0900,2.41051,24.1051
0.0930,2.34284,23.4284
0.0960,2.30502,23.0502
0.0990,2.39204,23.9204
0.1020,2.0825,20.825
0.1050,2.46931,24.6931
0.1080,2.33074,23.3074
0.1110,2.1931,21.931
0.1140,2.26828,22.6828
0.1170,2.4559,24.559
0.1200,2.63818,26.3818
0.1230,2.57777,25.7777
0.1260,2.79628,27.9628
0.1290,2.8481,28.481
0.1320,2.87999,28.7999
0.1350,2.8205,28.205
0.1380,3.02735,30.2735
0.1410,3.01659,30.1659
0.1440,2.86079,28.6079
0.1470,3.50177,35.0177
0.1500,3.69264,36.9264
0.1530,3.8034,38.034
0.1560,3.92804,39.2804
0.1590,3.82617,38.2617
0.1620,3.8624,38.624
0.1650,4.57515,45.7515
0.1680,4.35324,43.5324
0.1710,4.94349,49.4349
0.1740,5.47038,54.7038
0.1770,6.27635,62.7635
0.1800,5.79934,57.9934
0.1830,6.23017,62.3017
0.1860,6.14929,61.4929
0.1890,6.00355,60.0355
0.1920,4.7205,47.205
0.1950,3.91626,39.1626
0.1980,3.6549,36.549
0.2010,6.67708,66.7708
0.2040,2.79993,27.9993
0.2070,1.98683,19.8683
0.2100,1.32217,13.2217
0.2130,1.20538,12.0538
0.2160,0.799037,7.99037
0.2190,0.414739,4.14739
0.2220,0.148559,1.48559
0.2250,-0.105492,-1.05492
0.2280,-0.156392,-1.56392
0.2310,-0.473271,-4.73271
0.2340,-0.372202,-3.72202
0.2370,-0.564449,-5.64449
0.2400,-0.57889,-5.7889
0.2430,-0.592555,-5.92555
0.2460,-0.64566,-6.4566
0.2490,-0.601454,-6.01454
0.2520,-0.666924,-6.66924
0.2550,-0.372881,-3.72881
0.2580,-0.390977,-3.90977
0.2610,-0.405148,-4.05148
0.2640,-0.202462,-2.02462
0.2670,-0.208449,-2.08449
0.2700,-0.114138,-1.14138
0.2730,-0.0862734,-0.862734
0.2760,0.00480322,0.0480322
0.2790,-0.110656,-1.10656
0.2820,0.250696,2.50696
0.2850,0.254092,2.54092
0.2880,0.183067,1.83067
0.2910,0.26607,2.6607
0.2940,0.503587,5.03587
0.2970,0.576904,5.76904
0.3000,0.368135,3.68135
0.3030,0.47005,4.7005
0.3060,0.42221,4.2221
0.3090,0.559257,5.59257
0.3120,0.554053,5.54053
0.3150,0.909062,9.09062
0.3180,0.893577,8.93577
0.3210,0.941342,9.41342
0.3240,0.897049,8.97049
0.3270,1.1396,11.396
0.3300,1.37478,13.7478
0.3330,1.25373,12.5373
0.3360,1.36614,13.6614
0.3390,1.5277,15.277
0.3420,1.62657,16.2657
0.3450,1.53162,15.3162
0.3480,2.05727,20.5727
0.3510,2.21623,22.1623
0.3540,2.33102,23.3102
0.3570,2.48201,24.8201
0.3600,2.17614,21.7614
0.3630,2.55005,25.5005
0.3660,2.75502,27.5502
0.3690,2.68417,26.8417
0.3720,3.13289,31.3289
0.3750,3.65298,36.5298
0.3780,3.65578,36.5578
0.3810,3.32997,33.2997
0.3840,3.31857,33.1857
0.3870,3.30447,33.0447
0.3900,2.88936,28.8936
0.3930,2.52281,25.2281
0.3960,1.9823,19.823
0.3990,2.3589,23.589
0.4020,1.84557,18.4557
0.4050,1.5772,15.772
0.4080,1.50286,15.0286
0.4110,1.62471,16.2471
0.4140,1.70548,17.0548
0.4170,1.6104,16.104
0.4200,1.56643,15.6643
0.4230,1.36782,13.6782
0.4260,1.49097,14.9097
0.4290,1.30534,13.0534
0.4320,1.15372,11.5372
0.4350,1.40148,14.0148
0.4380,1.27065,12.7065
0.4410,1.32148,13.2148
0.4440,1.16483,11.6483
0.4470,1.11989,11.1989
0.4500,0.986852,9.86852
0.4530,0.743337,7.43337
0.4560,0.589528,5.89528
0.4590,0.645803,6.45803
0.4620,0.540513,5.40513
0.4650,0.50237,5.0237
0.4680,0.525617,5.25617
0.4710,0.549532,5.49532
0.4740,0.187366,1.87366
0.4770,0.238121,2.38121
0.4800,0.230142,2.30142
0.4830,0.472226,4.72226
0.4860,0.186897,1.86897
0.4890,0.313238,3.13238
0.4920,0.258793,2.58793
0.4950,0.368068,3.68068
0.4980,0.265179,2.65179
0.5010,0.348066,3.48066
0.5040,0.423475,4.23475
0.5070,0.397813,3.97813
0.5100,0.350015,3.50015
0.5130,0.36671,3.6671
0.5160,0.65647,6.5647
0.5190,0.783608,7.83608
0.5220,0.725466,7.25466
0.5250,0.71,7.1
0.5280,0.902534,9.02534
0.5310,0.916863,9.16863
0.5340,1.04005,10.4005
0.5370,1.17872,11.7872
0.5400,1.17502,11.7502
0.5430,1.1422,11.422
0.5460,1.39481,13.9481
0.5490,1.75997,17.5997
0.5520,1.82189,18.2189
0.5550,2.0148,20.148
0.5580,2.23715,22.3715
0.5610,2.12491,21.2491
0.5640,2.59822,25.9822
0.5670,2.5156,25.156
0.5700,2.56326,25.6326
0.5730,2.97872,29.7872
0.5760,3.44607,34.4607
0.5790,3.69061,36.9061
0.5820,3.47803,34.7803
0.5850,3.40003,34.0003
0.5880,3.3344,33.344
0.5910,3.00934,30.0934
0.5940,2.69799,26.9799
0.5970,2.00473,20.0473
0.6000,3.06924,30.6924
0.6030,1.90887,19.0887
0.6060,1.90396,19.0396
0.6090,1.99736,19.9736
0.6120,2.18946,21.8946
0.6150,2.15685,21.5685
0.6180,1.70785,17.0785
0.6210,1.81352,18.1352
0.6240,1.89654,18.9654
0.6270,1.79203,17.9203
0.6300,1.75301,17.5301
0.6330,1.7382,17.382
0.6360,1.75901,17.5901
0.6390,1.62564,16.2564
0.6420,1.65739,16.5739
0.6450,1.57544,15.7544
0.6480,1.55229,15.5229
0.6510,1.4075,14.075
0.6540,1.4718,14.718
0.6570,1.25412,12.5412
0.6600,1.14835,11.4835
0.6630,0.931787,9.31787
0.6660,0.84652,8.4652
0.6690,0.858729,8.58729
0.6720,0.717333,7.17333
0.6750,0.683616,6.83616
0.6780,0.579686,5.79686
0.6810,0.814188,8.14188
0.6840,0.653867,6.53867
0.6870,0.765299,7.65299
0.6900,0.670341,6.70341
0.6930,0.634612,6.34612
0.6960,0.526455,5.26455
0.6990,0.612007,6.12007
0.7020,0.627576,6.27576
0.7050,0.749666,7.49666
0.7080,0.61466,6.1466
0.7110,0.504043,5.04043
0.7140,0.522688,5.22688
0.7170,0.752267,7.52267
0.7200,0.881991,8.81991
0.7230,0.804604,8.04604
0.7260,0.773612,7.73612
0.7290,0.843647,8.43647
0.7320,0.91406,9.1406
0.7350,0.877016,8.77016
0.7380,0.888838,8.88838
0.7410,0.869833,8.69833
0.7440,0.843915,8.43915
0.7470,1.33659,13.3659
0.7500,1.37977,13.7977
0.7530,1.53154,15.3154
0.7560,1.59775,15.9775
0.7590,1.55941,15.5941
0.7620,1.66092,16.6092
0.7650,1.97247,19.7247
0.7680,1.8466,18.466
0.7710,2.28252,22.8252
0.7740,2.55019,25.5019
0.7770,3.07106,30.7106
0.7800,2.71439,27.1439
0.7830,2.91975,29.1975
0.7860,2.63237,26.3237
0.7890,2.43009,24.3009
0.7920,1.87051,18.7051
0.7950,1.74353,17.4353
0.7980,1.40509,14.0509
0.8010,1.16024,11.6024
0.8040,1.17433,11.7433
0.8070,1.23731,12.3731
0.8100,1.13954,11.3954
0.8130,1.59084,15.9084
0.8160,1.56149,15.6149
0.8190,1.42693,14.2693
0.8220,1.39207,13.9207
0.8250,1.46831,14.6831
0.8280,1.54627,15.4627
0.8310,1.17485,11.7485
0.8340,1.53299,15.3299
0.8370,1.33688,13.3688
0.8400,1.36025,13.6025
0.8430,1.25547,12.5547
0.8460,1.23619,12.3619
0.8490,1.29197,12.9197
0.8520,1.13468,11.3468
0.8550,1.4136,14.136
0.8580,1.27824,12.7824
0.8610,1.13623,11.3623
0.8640,0.939078,9.39078
0.8670,0.909358,9.09358
0.8700,0.873585,8.73585
0.8730,0.767764,7.67764
0.8760,0.785862,7.85862
