Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.003,0,100,0,1.8,0,0,-0.10814,-0.157246,39.7555,-0.300235,-1.85447,-86.3914
0.006,0,100,0,3.6,0,-86.3914,0.0367215,0.00754784,28.5354,0.325218,0.572835,-51.9511
0.009,0,100,0,5.4,0,-51.9511,0.0313735,0.184542,21.6197,-1.02667,0.373988,-37.2545
0.012,0,100,0,7.20001,0,-37.2545,0.0173571,0.111069,16.4972,-0.502904,-0.0886966,-28.0617
0.015,0,100,0,9.00001,0,-28.0617,-0.0493935,0.0638288,11.7175,-0.221752,0.499167,-20.4292
0.018,0,100,0,10.8,0,-20.4292,-0.0231209,0.0790713,8.17799,0.0949083,-0.522419,-15.3268
0.021,0,100,0,12.6,0,-15.3268,0.107341,-0.106985,6.88296,1.14817,-0.618011,-13.1448
0.024,0,100,0,14.4,0,-13.1448,-0.0251767,-0.0303291,6.72537,0.247307,-0.198316,-12.804
0.027,0,100,0,16.2,0,-12.804,-0.0229714,-0.0441065,6.00802,-0.578324,0.405191,-11.3907
0.03,0,100,0,18,0,-11.3907,0.038525,0.237434,5.98334,0.132739,0.63798,-11.2361
0.033,0,100,0,19.8,0,-11.2361,-0.13436,0.0142657,5.47066,0.373949,-0.348004,-11.096
0.036,0,100,0,21.6,0,-11.096,0.0774126,-0.095577,5.40319,0.46535,-0.565014,-10.2232
0.039,0,100,0,23.4,0,-10.2232,-0.0734931,0.0199489,5.32076,-0.0190953,-0.217641,-9.44357
0.042,0,100,0,25.2,0,-9.44357,0.00510748,-0.0244385,4.92359,-0.211017,-0.0133784,-9.30947
0.045,0,100,0,27,0,-9.30947,0.111973,-0.0235229,4.21156,0.162652,0.298667,-8.75398
0.048,0,100,0,28.8,0,-8.75398,-0.00642126,-0.0607457,4.29135,0.0361559,-0.271214,-8.32538
0.051,0,100,0,30.6,0,-8.32538,0.249568,-0.0702791,3.9151,0.937286,-1.23963,-8.88049
0.054,0,100,0,32.4,0,-8.88049,0.11489,0.0223798,4.00953,0.337218,-0.215664,-8.17095
0.057,0,100,0,34.2,0,-8.17095,0.241173,-0.0154482,3.79773,1.02973,-0.244345,-7.70158
0.06,0,100,0,36,0,-7.70158,0.127981,-0.151575,3.24699,0.338873,-0.429051,-7.03457
0.063,0,100,0,37.8,0,-7.03457,-0.123939,-0.115745,3.09428,0.158006,-0.52628,-6.55486
0.066,0,100,0,39.6,0,-6.55486,-0.00560757,0.0602648,2.88235,-0.0865723,-0.10546,-6.98238
0.069,0,100,0,41.4,0,-6.98238,0.0264008,0.125702,2.70162,-0.431241,0.0148565,-7.18527
0.072,0,100,0,43.2,0,-7.18527,0.105918,0.0157207,2.51668,0.248925,-0.243819,-5.82834
0.075,0,100,0,45,0,-5.82834,-0.000101929,0.0488301,2.29703,0.0596798,-0.142191,-5.87277
0.078,0,100,0,46.8,0,-5.87277,0.168897,0.186225,2.49839,0.317772,0.410606,-6.55542
0.081,0,100,0,48.6,0,-6.55542,0.0636811,-0.163634,2.5204,0.583706,0.0841288,-7.51704
0.084,0,100,0,50.4,0,-7.51704,0.207225,0.0226419,2.63042,0.095663,0.193131,-6.70368
0.087,0,100,0,52.2,0,-6.70368,-0.0109772,-0.159376,2.38078,-0.0767095,-0.232513,-6.45868
0.09,0,100,0,54,0,-6.45868,-0.0695607,0.0146612,2.41051,-0.788152,0.122913,-6.52194
0.093,0,100,0,55.8,0,-6.52194,0.0512218,-0.0504714,2.34284,0.262299,-0.0741499,-6.84398
0.096,0,100,0,57.6,0,-6.84398,0.27281,-0.0182487,2.30502,0.352645,0.450726,-6.89357
0.099,0,100,0,59.4,0,-6.89357,-0.01045,-0.107608,2.39204,0.272831,0.126434,-7.38873
0.102,0,100,0,61.2,0,-7.38873,0.264663,0.244285,2.0825,0.155729,0.0485584,-6.95612
0.105,0,100,0,63,0,-6.95612,0.0209058,-0.113345,2.46931,-0.433172,-0.160718,-7.0665
0.108,0,100,0,64.8,0,-7.0665,-0.0668989,-0.129783,2.33074,-0.0663651,-0.212283,-6.54755
0.111,0,100,0,66.6,0,-6.54755,-0.00181863,0.0514223,2.1931,0.116188,-0.623711,-6.43005
0.114,0,100,0,68.4,0,-6.43005,-0.193136,-0.0924273,2.26828,0.0323554,-0.725141,-7.08091
0.117,0,100,0,70.2,0,-7.08091,-0.0592395,-0.0822432,2.4559,0.805793,-0.765849,-6.52034
0.12,0,100,0,72.0001,0,-6.52034,-0.0846142,0.0847787,2.63818,0.0516,-0.470019,-6.55614
0.123,0,100,0,73.8001,0,-6.55614,0.0282367,0.110698,2.57777,0.609665,-0.124596,-6.96671
0.126,0,100,0,75.6001,0,-6.96671,0.199622,-0.0189268,2.79628,0.530244,-0.389533,-7.34491
0.129,0,100,0,77.4001,0,-7.34491,-0.057251,-0.192203,2.8481,-0.0467323,-0.687087,-6.82235
0.132,0,100,0,79.2001,0,-6.82235,-0.180258,-0.249278,2.87999,0.507173,-0.483604,-7.18135
0.135,0,100,0,81.0001,0,-7.18135,-0.231021,-0.0411836,2.8205,-0.0942839,-0.779831,-7.68339
0.138,0,100,0,82.8001,0,-7.68339,-0.0481716,-0.106642,3.02735,0.265396,0.0687321,-7.82041
0.141,0,100,0,84.6001,0,-7.82041,0.0900155,0.00800636,3.01659,0.215235,-0.203107,-8.31604
0.144,0,100,0,86.4001,0,-8.31604,0.205113,0.0483307,2.86079,0.333494,-0.23911,-7.78164
0.147,0,100,0,88.2001,0,-7.78164,0.304735,0.0878234,3.50177,0.248643,0.457021,-9.33523
0.15,0,100,0,90.0001,0,-9.33523,0.102265,-0.0952238,3.69264,-0.35468,-0.174728,-8.68843
0.153,0,100,0,91.8,0,-8.68843,-0.0723629,-0.136279,3.8034,0.298848,0.196497,-9.8173
0.156,0,100,0,93.6,0,-9.8173,0.0435304,0.0603383,3.92804,-0.400905,0.0247862,-9.78713
0.159,0,100,0,95.4001,0,-9.78713,-0.295565,0.155977,3.82617,-0.843056,-0.384451,-9.70854
0.162,0,100,0,97.2001,0,-9.70854,-0.0335327,0.0437544,3.8624,0.20529,-0.123482,-9.10838
0.165,0,100,0,99.0001,0,-9.10838,0.133888,0.186535,4.57515,0.510897,0.865277,-9.91136
0.168,0,100,0,100.8,0,-9.91136,0.132354,0.00537562,4.35324,0.40471,-0.0228212,-9.64931
0.171,0,100,0,102.6,0,-9.64931,-0.0824115,0.0541673,4.94349,0.0875928,0.585535,-11.2752
0.174,0,100,0,104.4,0,-11.2752,-0.019335,0.0279482,5.47038,0.592009,-0.0185035,-11.9867
0.177,0,100,0,106.2,0,-11.9867,0.0129711,-0.0556308,6.27635,0.430505,-0.527072,-13.0617
0.18,0,100,0,108,0,-13.0617,0.0526867,0.110253,5.79934,1.09664,0.287363,-13.2973
0.183,0,100,0,109.8,0,-13.2973,-0.058631,0.0603452,6.23017,-0.24112,-0.215353,-14.7649
0.186,0,100,0,111.6,0,-14.7649,-0.0497543,0.100292,6.14929,-0.163294,-0.254117,-15.824
0.189,0,100,0,113.4,0,-15.824,-0.0816661,0.0350891,6.00355,-0.746905,-0.574442,-16.6517
0.192,0,100,0,115.2,0,-16.6517,0.033702,0.0217833,4.7205,-0.0876102,0.329723,-14.9712
0.195,0,100,0,117,0,-14.9712,0.0276779,-0.0540925,3.91626,-0.133934,0.156474,-16.1272
0.198,0,100,0,118.8,0,-16.1272,0.0533728,-0.0445223,3.6549,-0.263402,-0.0381998,-21.7049
0.201,0,100,0,120.6,0,-21.7049,0.0776585,0.185493,6.67708,0.0905302,0.33873,-21.2918
0.204,0,100,0,122.4,0,-21.2918,-0.0155398,0.0583318,2.79993,0.161668,-0.00241168,-13.8959
0.207,0,100,0,124.2,0,-13.8959,0.0160515,0.0475571,1.98683,-0.292687,0.0771598,-11.383
0.21,0,100,0,126,0,-11.383,0.0222737,0.0130706,1.32217,-0.0781679,0.00891504,-9.68241
0.213,0,100,0,127.8,0,-9.68241,-0.112466,-0.0642708,1.20538,0.115985,-0.635191,-8.97952
0.216,0,100,0,129.6,0,-8.97952,-0.0381243,-0.00762522,0.799037,0.332121,0.00879539,-7.86916
0.219,0,100,0,131.4,0,-7.86916,-0.00333238,0.0573442,0.414739,0.00711223,-0.0985207,-6.75844
0.222,0,100,0,133.2,0,-6.75844,-0.0586074,0.0196923,0.148559,0.0161305,-0.163559,-6.24716
0.225,0,100,0,135,0,-6.24716,-0.205808,0.000520472,-0.105492,0.261091,-0.177943,-6.074
0.228,0,100,0,136.8,0,-6.074,0.0331436,-0.00800081,-0.156392,0.259188,0.240701,-5.21985
0.231,0,100,0,138.6,0,-5.21985,0.0197103,0.0821912,-0.473271,0.0468749,-0.164518,-4.83687
0.234,0,100,0,140.4,0,-4.83687,0.00808201,-0.0445151,-0.372202,0.158246,0.0690806,-4.84305
0.237,0,100,0,142.2,0,-4.84305,0.152335,-0.274265,-0.564449,0.342443,0.207974,-5.67784
0.24,0,100,0,144,0,-5.67784,0.0841681,0.0592666,-0.57889,0.536306,0.387655,-3.98552
0.243,0,100,0,145.8,0,-3.98552,-0.0395291,0.0775622,-0.592555,0.580852,0.0720202,-3.78009
0.246,0,100,0,147.6,0,-3.78009,0.024307,0.0436383,-0.64566,0.234706,-0.195005,-3.74044
0.249,0,100,0,149.4,0,-3.74044,-0.0546153,-0.0658691,-0.601454,-0.0741837,-0.396167,-3.49025
0.252,0,100,0,151.2,0,-3.49025,-0.025488,-0.0628776,-0.666924,0.295223,0.0623206,-3.27737
0.255,0,100,0,153,0,-3.27737,0.0296147,-0.00225939,-0.372881,0.507378,-0.0818489,-3.57261
0.258,0,100,0,154.8,0,-3.57261,0.106124,-0.10839,-0.390977,0.765487,-0.718597,-3.65457
0.261,0,100,0,156.6,0,-3.65457,0.00383854,-0.0298056,-0.405148,0.16396,-0.204631,-3.08303
0.264,0,100,0,158.4,0,-3.08303,0.0812823,-0.0713229,-0.202462,0.0598482,-0.034889,-3.40292
0.267,0,100,0,160.2,0,-3.40292,-0.0610934,-0.0316302,-0.208449,-0.316146,-0.00569955,-3.27946
0.27,0,100,0,162,0,-3.27946,0.0575521,0.0200142,-0.114138,-0.0587201,0.0210173,-3.17073
0.273,0,100,0,163.8,0,-3.17073,-0.0722812,0.0847354,-0.0862734,-0.292189,-0.0598089,-2.97315
0.276,0,100,0,165.6,0,-2.97315,-0.199602,0.102655,0.00480322,-0.171876,0.0818182,-3.49073
0.279,0,100,0,167.4,0,-3.49073,0.124325,0.00364722,-0.110656,-0.242878,0.0389954,-3.2576
0.282,0,100,0,169.2,0,-3.2576,0.0115812,-0.0718285,0.250696,-0.0997918,0.227086,-3.40627
0.285,0,100,0,171,0,-3.40627,-0.0156085,-0.0204098,0.254092,0.100379,0.316185,-3.43347
0.288,0,100,0,172.8,0,-3.43347,-0.031931,0.0776163,0.183067,-0.188104,0.165569,-3.09389
0.291,0,100,0,174.6,0,-3.09389,-0.168106,-0.124726,0.26607,-0.0265956,-0.116108,-3.48812
0.294,0,100,0,176.4,0,-3.48812,-0.145261,0.00970786,0.503587,0.046512,0.0959519,-3.58353
0.297,0,100,0,178.2,0,-3.58353,0.114574,0.0182435,0.576904,-0.0277548,0.258333,-3.35996
0.3,0,100,0,180,0,-3.35996,0.0520296,0.0192246,0.368135,-0.300056,0.327536,-2.96012
0.303,0,100,0,181.8,0,-2.96012,0.0394764,-0.0603132,0.47005,-0.234653,0.270435,-3.42324
0.306,0,100,0,183.6,0,-3.42324,0.104928,-0.0270459,0.42221,-0.612379,0.380324,-3.18486
0.309,0,100,0,185.4,0,-3.18486,-0.0237146,0.0378229,0.559257,-0.158755,0.0943679,-2.93027
0.312,0,100,0,187.2,0,-2.93027,-0.029469,0.168915,0.554053,-0.285448,0.175292,-3.22454
0.315,0,100,0,189,0,-3.22454,0.0127311,0.146803,0.909062,0.147648,0.197582,-4.59638
0.318,0,100,0,190.8,0,-4.59638,0.0314315,0.0721399,0.893577,0.395463,-0.0565696,-3.54078
0.321,0,100,0,192.6,0,-3.54078,0.0641229,0.0891668,0.941342,0.129205,-0.00808193,-3.77327
0.324,0,100,0,194.4,0,-3.77327,0.0484623,0.0828556,0.897049,0.222525,0.0308629,-3.67891
0.327,0,100,0,196.2,0,-3.67891,0.0382296,-0.0228145,1.1396,0.332552,-0.0146754,-3.84212
0.33,0,100,0,198,0,-3.84212,-0.188598,-0.1899,1.37478,-0.322235,-0.829184,-4.10002
0.333,0,100,0,199.8,0,-4.10002,-0.108717,-0.15209,1.25373,-0.128687,-0.704816,-3.83557
0.336,0,100,0,201.6,0,-3.83557,-0.0506035,0.0149083,1.36614,0.597543,-0.209691,-4.30435
0.339,0,100,0,203.4,0,-4.30435,-0.179522,-0.104527,1.5277,-0.438508,-0.446252,-4.34574
0.342,0,100,0,205.2,0,-4.34574,-0.0192098,-0.117773,1.62657,-0.0140457,-0.376316,-5.12069
0.345,0,100,0,207,0,-5.12069,-0.073756,-0.0367952,1.53162,-0.487574,-0.491182,-4.57455
0.348,0,100,0,208.8,0,-4.57455,0.250277,-0.0651861,2.05727,0.547351,-0.599462,-5.36302
0.351,0,100,0,210.6,0,-5.36302,0.0794579,0.0126868,2.21623,0.430651,-0.0155413,-5.4349
0.354,0,100,0,212.4,0,-5.4349,-0.156384,0.088168,2.33102,-0.0667996,-0.0223458,-6.06009
0.357,0,100,0,214.2,0,-6.06009,-0.156129,-0.0332928,2.48201,-0.816462,-0.706969,-5.94233
0.36,0,100,0,216,0,-5.94233,-0.214476,0.246159,2.17614,-0.973433,0.342043,-6.33852
0.363,0,100,0,217.8,0,-6.33852,-0.0353664,0.083698,2.55005,0.103974,0.203076,-6.4016
0.366,0,100,0,219.6,0,-6.4016,-0.0106505,-0.0184299,2.75502,-0.085061,-0.0304692,-6.64304
0.369,0,100,0,221.4,0,-6.64304,-0.0506752,-0.12111,2.68417,-0.448929,-0.47228,-6.90106
0.372,0,100,0,223.2,0,-6.90106,-0.0895338,-0.0848497,3.13289,-0.14209,-0.352537,-7.873
0.375,0,100,0,225,0,-7.873,0.139463,-0.0117025,3.65298,0.542548,0.010765,-8.54026
0.378,0,100,0,226.8,0,-8.54026,0.054376,0.0281693,3.65578,0.613422,0.490096,-8.88115
0.381,0,100,0,228.6,0,-8.88115,0.0354748,0.0822767,3.32997,0.239768,0.373907,-9.14364
0.384,0,100,0,230.4,0,-9.14364,0.0321619,0.00871543,3.31857,0.046642,-0.258578,-10.1097
0.387,0,100,0,232.2,0,-10.1097,0.0123604,0.0907525,3.30447,0.37488,0.201865,-10.6498
0.39,0,100,0,234,0,-10.6498,-0.11667,0.0682265,2.88936,-0.676386,0.755729,-10.6296
0.393,0,100,0,235.8,0,-10.6296,-0.0499419,0.0965307,2.52281,-0.542091,1.15379,-9.80071
0.396,0,100,0,237.6,0,-9.80071,0.0496072,0.0522313,1.9823,0.290142,0.814924,-10.9619
0.399,0,100,0,239.4,0,-10.9619,0.0749504,0.211905,2.3589,0.258552,1.46978,-17.3467
0.402,0,100,0,241.2,0,-17.3467,0.0100818,0.0915424,1.84557,0.38281,0.728207,-11.1443
0.405,0,100,0,243,0,-11.1443,0.0137617,-0.0101782,1.5772,0.189776,0.289525,-9.00035
0.408,0,100,0,244.8,0,-9.00035,0.0369026,0.0583411,1.50286,0.36693,0.519036,-8.24491
0.411,0,100,0,246.6,0,-8.24491,0.103976,0.159578,1.62471,0.458714,0.252874,-7.66386
0.414,0,100,0,248.4,0,-7.66386,-0.0318699,0.0725156,1.70548,-0.072685,0.101657,-7.29545
0.417,0,100,0,250.2,0,-7.29545,0.0858088,0.112099,1.6104,0.23351,0.240852,-6.90699
0.42,0,100,0,252,0,-6.90699,0.0428806,0.109295,1.56643,0.123593,0.355016,-6.132
0.423,0,100,0,253.8,0,-6.132,0.0799207,0.0660046,1.36782,0.0616153,-0.0284528,-5.94542
0.426,0,100,0,255.6,0,-5.94542,0.0554748,-0.000286827,1.49097,-0.0551874,0.0364263,-5.57432
0.429,0,100,0,257.4,0,-5.57432,0.0609452,0.0116088,1.30534,0.283609,0.169338,-5.4492
0.432,0,100,0,259.2,0,-5.4492,0.0526727,0.101141,1.15372,-0.132175,0.147012,-5.35474
0.435,0,100,0,261,0,-5.35474,0.064839,-0.127752,1.40148,0.1746,-0.205798,-4.9006
0.438,0,100,0,262.8,0,-4.9006,0.103661,-0.000473188,1.27065,0.266258,0.0674358,-4.78472
0.441,0,100,0,264.6,0,-4.78472,0.0586933,0.123399,1.32148,0.1261,0.477489,-4.66328
0.444,0,100,0,266.4,0,-4.66328,-0.122191,0.146337,1.16483,-0.296697,-0.0159869,-4.70495
0.447,0,100,0,268.2,0,-4.70495,0.0202016,0.0750718,1.11989,0.351275,-0.381247,-4.47437
0.45,0,100,0,270,0,-4.47437,-0.0660728,-0.0856384,0.986852,0.0889699,-0.7822,-4.12413
0.453,0,100,0,271.8,0,-4.12413,-0.00141075,-0.164996,0.743337,0.323305,-0.396989,-4.21145
0.456,0,100,0,273.6,0,-4.21145,0.12882,-0.0102216,0.589528,0.6817,-0.301492,-4.34224
0.459,0,100,0,275.4,0,-4.34224,0.0466136,-0.0667303,0.645803,0.429366,-0.291101,-4.09459
0.462,0,100,0,277.2,0,-4.09459,-0.0378471,-0.0319082,0.540513,0.0207155,-0.288971,-3.57564
0.465,0,100,0,279,0,-3.57564,-0.0746332,0.0428151,0.50237,-0.312385,-0.0726232,-3.77638
0.468,0,100,0,280.8,0,-3.77638,0.0558701,-0.010511,0.525617,0.0512582,0.189939,-3.56065
0.471,0,100,0,282.6,0,-3.56065,0.156076,-0.0197364,0.549532,0.186283,0.128237,-3.19367
0.474,0,100,0,284.4,0,-3.19367,-0.0173068,0.00224995,0.187366,-0.0433719,0.000624487,-3.16796
0.477,0,100,0,286.2,0,-3.16796,-0.0140598,0.144706,0.238121,-0.309272,-0.09613,-3.47138
0.48,0,100,0,288,0,-3.47138,0.252443,0.109419,0.230142,-0.24485,0.502687,-3.96429
0.483,0,100,0,289.8,0,-3.96429,0.0484399,-0.0632057,0.472226,-0.0419315,0.232383,-3.48276
0.486,0,100,0,291.6,0,-3.48276,-0.215578,-0.0145634,0.186897,0.0961046,0.366897,-3.52189
0.489,0,100,0,293.4,0,-3.52189,-0.0851088,-0.0428186,0.313238,-0.322203,-0.0513685,-3.35808
0.492,0,100,0,295.2,0,-3.35808,0.0696006,-0.0614892,0.258793,-0.217888,-0.029725,-3.83772
0.495,0,100,0,297,0,-3.83772,0.070546,-0.0850961,0.368068,-0.146538,0.160891,-3.5285
0.498,0,100,0,298.8,0,-3.5285,0.0525257,0.136571,0.265179,-0.379962,0.2628,-3.28852
0.501,0,100,0,300.6,0,-3.28852,-0.0483246,-0.0209529,0.348066,-0.635522,0.284351,-2.76281
0.504,0,100,0,302.4,0,-2.76281,-0.11018,-0.03305,0.423475,-0.761351,0.353147,-3.34624
0.507,0,100,0,304.2,0,-3.34624,0.128319,-0.0726013,0.397813,-0.234076,0.191148,-3.26291
0.51,0,100,0,306,0,-3.26291,0.00353452,0.0580208,0.350015,-0.395372,-0.00549645,-2.74063
0.513,0,100,0,307.8,0,-2.74063,-0.103791,0.204141,0.36671,-0.411454,0.446172,-3.15829
0.516,0,100,0,309.6,0,-3.15829,-0.0873105,0.0251596,0.65647,0.277423,-0.105717,-4.60969
0.519,0,100,0,311.4,0,-4.60969,-0.0395389,0.0070772,0.783608,0.0949442,-0.182246,-4.10974
0.522,0,100,0,313.2,0,-4.10974,-0.0227432,0.151566,0.725466,-0.102974,0.0962542,-3.67465
0.525,0,100,0,315,0,-3.67465,-0.0352261,0.129268,0.71,-0.326266,0.0771047,-3.48784
0.528,0,100,0,316.8,0,-3.48784,-0.0286161,-0.12706,0.902534,0.0639743,-0.0601639,-3.56705
0.531,0,100,0,318.6,0,-3.56705,-0.0579632,-0.139577,0.916863,-0.187516,-0.204124,-3.93974
0.534,0,100,0,320.4,0,-3.93974,-0.120053,0.0188944,1.04005,-0.375179,-0.142889,-4.21917
0.537,0,100,0,322.2,0,-4.21917,-0.0825816,-0.0761677,1.17872,0.36719,-0.164684,-4.48873
0.54,0,100,0,324,0,-4.48873,0.0631949,-0.101666,1.17502,0.45978,-0.241592,-4.79213
0.543,0,100,0,325.8,0,-4.79213,0.034354,-0.0432684,1.1422,0.150191,-0.235631,-4.55073
0.546,0,100,0,327.6,0,-4.55073,-0.0204728,-0.00837066,1.39481,-0.260864,-0.148446,-4.98828
0.549,0,100,0,329.4,0,-4.98828,0.0876099,-0.0356683,1.75997,-0.210692,0.289404,-5.83683
0.552,0,100,0,331.2,0,-5.83683,0.146317,-0.067318,1.82189,0.0879238,-0.0538998,-6.19562
0.555,0,100,0,333,0,-6.19562,0.000440273,0.028184,2.0148,0.172616,-0.561255,-6.1778
0.558,0,100,0,334.8,0,-6.1778,-0.0719586,0.0945079,2.23715,-0.569742,0.188694,-6.68512
0.561,0,100,0,336.6,0,-6.68512,-0.116848,-0.0347469,2.12491,-0.646389,-0.528161,-6.21653
0.564,0,100,0,338.4,0,-6.21653,0.135137,0.146099,2.59822,0.455344,0.533763,-7.05887
0.567,0,100,0,340.2,0,-7.05887,0.0113149,0.0932326,2.5156,-0.164273,0.739697,-6.94932
0.57,0,100,0,342,0,-6.94932,-0.038013,0.0797997,2.56326,0.219602,0.0829649,-7.52426
0.573,0,100,0,343.8,0,-7.52426,-0.0556616,0.0274995,2.97872,0.696838,-0.251763,-8.32102
0.576,0,100,0,345.6,0,-8.32102,0.130894,0.101208,3.44607,0.717375,-0.226511,-9.32478
0.579,0,100,0,347.4,0,-9.32478,-0.0521835,0.106729,3.69061,0.826465,-0.198556,-10.2689
0.582,0,100,0,349.2,0,-10.2689,-0.102857,0.0371577,3.47803,0.0242836,0.118463,-10.7971
0.585,0,100,0,351,0,-10.7971,0.0315264,0.0708476,3.40003,-0.278274,-0.258549,-11.4082
0.588,0,100,0,352.8,0,-11.4082,-0.0521951,-0.0318622,3.3344,-0.581614,-1.14611,-12.2435
0.591,0,100,0,354.6,0,-12.2435,0.0179592,0.0911822,3.00934,0.135316,-0.0883507,-11.5096
