Length Units,centimeter
Node,X(cm),Y(cm),Z(cm),VX(cm/s),VY(cm/s),VZ(cm/s),(5) 静圧 - dyne/cm2
1,-1.5428572E+01,0.0000000E+00,2.7692308E+01,6.6442117E-03,1.1639277E-04,-6.7467857E-03,-3.1757594E-05
2,-1.0285715E+01,0.0000000E+00,2.7692308E+01,5.6633162E-03,1.7960872E-04,-1.8268228E-02,-7.3336225E-05
3,-5.1428576E+00,0.0000000E+00,2.7692308E+01,3.2665939E-03,3.6283067E-04,-2.8798755E-02,-1.2506288E-04
4,0.0000000E+00,0.0000000E+00,2.7692308E+01,1.6995016E-04,1.6404486E-04,-3.3540118E-02,-1.3556883E-04
5,5.1428566E+00,0.0000000E+00,2.7692308E+01,-3.4807166E-03,2.0460191E-04,-2.9735971E-02,-1.3030371E-04
6,1.0285713E+01,0.0000000E+00,2.7692308E+01,-5.5759782E-03,1.4684205E-04,-1.9134376E-02,-8.3632185E-05
7,1.5428570E+01,0.0000000E+00,2.7692308E+01,-6.6160294E-03,-3.4887716E-04,-7.2106509E-03,-3.3518023E-05
8,-1.5428572E+01,0.0000000E+00,2.3076923E+01,1.7890757E-02,9.2578994E-05,-8.2787462E-03,-9.1789909E-05
9,-1.0285715E+01,0.0000000E+00,2.3076923E+01,1.7561872E-02,-6.3557806E-04,-2.3392633E-02,-2.5324902E-04
10,-5.1428576E+00,0.0000000E+00,2.3076923E+01,1.2164474E-02,2.4472340E-04,-4.0087968E-02,-4.2523205E-04
11,0.0000000E+00,0.0000000E+00,2.3076923E+01,4.3729725E-04,2.1784044E-04,-4.9329262E-02,-4.7283684E-04
12,5.1428566E+00,0.0000000E+00,2.3076923E+01,-1.2082831E-02,4.7535487E-04,-4.1595951E-02,-4.3592509E-04
13,1.0285713E+01,0.0000000E+00,2.3076923E+01,-1.7665893E-02,1.0057566E-04,-2.4632316E-02,-2.7902157E-04
14,1.5428570E+01,0.0000000E+00,2.3076923E+01,-1.8340752E-02,-7.3911942E-05,-8.2958126E-03,-1.0071674E-04
15,-1.5428572E+01,0.0000000E+00,1.8461538E+01,3.2636598E-02,-1.3923601E-04,-8.9676771E-03,-1.4786013E-04
16,-1.0285715E+01,0.0000000E+00,1.8461538E+01,4.2451683E-02,-7.6333113E-04,-3.7198462E-02,-5.2934070E-04
17,-5.1428576E+00,0.0000000E+00,1.8461538E+01,3.2456823E-02,4.2378454E-04,-7.5605728E-02,-9.1781875E-04
18,0.0000000E+00,0.0000000E+00,1.8461538E+01,1.4352079E-03,1.6304686E-03,-9.9099442E-02,-1.1024351E-03
19,5.1428566E+00,0.0000000E+00,1.8461538E+01,-3.3850964E-02,2.0172128E-03,-7.3047884E-02,-9.2298986E-04
20,1.0285713E+01,0.0000000E+00,1.8461538E+01,-3.9574713E-02,5.5670302E-04,-3.5539098E-02,-5.6336983E-04
21,1.5428570E+01,0.0000000E+00,1.8461538E+01,-3.4994915E-02,5.2789939E-05,-9.8944791E-03,-1.8064794E-04
22,-1.5428572E+01,0.0000000E+00,1.3846153E+01,4.5222841E-02,-1.4965800E-03,-2.0349748E-03,-2.4017617E-04
23,-1.0285715E+01,0.0000000E+00,1.3846153E+01,9.7349197E-02,-2.9070531E-03,-5.3233951E-02,-9.6011901E-04
