Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,1,0.003,-7.33843e-05,0.056063,0.0486655,-0.0190153,0,0,0,0
2,1,0.003,0.00801881,0.0517761,0.0759611,-0.0385103,0,0,0,0
3,1,0.003,0.0135298,0.0502541,0.10922,-0.0521522,0,0,0,0
4,2,0.006,0.0119973,0.0197449,-0.0526807,-0.154512,0,0,0,0
5,2,0.006,0.0177621,0.0174511,-0.126937,-0.199876,0,0,0,0
6,2,0.006,0.0225288,0.0165819,-0.162319,-0.216821,0,0,0,0
7,3,0.009,0.0249902,-0.00192233,-0.286137,-0.245203,0,0,0,0
8,3,0.009,0.0310287,-0.00352053,-0.355292,-0.251675,0,0,0,0
9,3,0.009,0.0357081,-0.00377348,-0.391303,-0.249366,0,0,0,0
10,4,0.012,0.0477519,-0.00420241,-0.471814,-0.230945,0,0,0,0
11,4,0.012,0.0507155,-0.0012105,-0.53167,-0.218049,0,0,0,0
12,4,0.012,0.0530688,0.00119119,-0.56866,-0.208804,0,0,0,0
13,5,0.015,0.0634054,-0.00453271,-0.640468,-0.197606,0,0,0,0
14,5,0.015,0.0658897,-0.00341117,-0.701154,-0.190471,0,0,0,0
15,5,0.015,0.0678628,-0.00207938,-0.743787,-0.185852,0,0,0,0
16,6,0.018,0.0756352,0.00694936,-0.812427,-0.182708,0,0,0,0
17,6,0.018,0.0793522,0.0116564,-0.875149,-0.181004,0,0,0,0
18,6,0.018,0.0822401,0.0154948,-0.922492,-0.17961,0,0,0,0
19,7,0.021,0.0951587,0.0199027,-0.998493,-0.179799,0,0,0,0
20,7,0.021,0.0992896,0.0239789,-1.06692,-0.180585,0,0,0,0
21,7,0.021,0.102491,0.0272698,-1.11998,-0.180954,0,0,0,0
22,8,0.024,0.101849,0.0224092,-1.20122,-0.188638,0,0,0,0
23,8,0.024,0.103667,0.0245765,-1.26842,-0.1918,0,0,0,0
24,8,0.024,0.105095,0.0263864,-1.32057,-0.193009,0,0,0,0
25,9,0.027,0.116779,0.0303188,-1.3987,-0.185743,0,0,0,0
26,9,0.027,0.120513,0.0333521,-1.46244,-0.181926,0,0,0,0
27,9,0.027,0.123196,0.0359037,-1.51208,-0.179762,0,0,0,0
28,10,0.03,0.118217,0.0342208,-1.58157,-0.170902,0,0,0,0
29,10,0.03,0.11718,0.0356892,-1.63681,-0.165886,0,0,0,0
30,10,0.03,0.116006,0.036923,-1.68001,-0.163103,0,0,0,0
31,11,0.033,0.117514,0.0363255,-1.74162,-0.152429,0,0,0,0
32,11,0.033,0.117486,0.0391064,-1.79039,-0.147879,0,0,0,0
33,11,0.033,0.117257,0.0415917,-1.82857,-0.145596,0,0,0,0
34,12,0.036,0.123957,0.0435663,-1.88131,-0.138965,0,0,0,0
35,12,0.036,0.12618,0.0468747,-1.92288,-0.135499,0,0,0,0
36,12,0.036,0.12787,0.0497736,-1.95567,-0.133879,0,0,0,0
37,13,0.039,0.130781,0.0552839,-2.00744,-0.129127,0,0,0,0
38,13,0.039,0.132705,0.0604644,-2.048,-0.127648,0,0,0,0
39,13,0.039,0.133925,0.0646775,-2.07981,-0.126874,0,0,0,0
40,14,0.042,0.138816,0.0677924,-2.12742,-0.121806,0,0,0,0
41,14,0.042,0.141645,0.0695642,-2.16511,-0.119466,0,0,0,0
42,14,0.042,0.143427,0.0711628,-2.19478,-0.118248,0,0,0,0
43,15,0.045,0.143714,0.075093,-2.23733,-0.113476,0,0,0,0
44,15,0.045,0.143785,0.0783396,-2.27068,-0.110941,0,0,0,0
45,15,0.045,0.143495,0.0810813,-2.29709,-0.109548,0,0,0,0
46,16,0.048,0.144562,0.0851935,-2.33509,-0.101458,0,0,0,0
47,16,0.048,0.145058,0.0886759,-2.36478,-0.0972827,0,0,0,0
48,16,0.048,0.145135,0.0915414,-2.38852,-0.0950473,0,0,0,0
49,17,0.051,0.143769,0.0951515,-2.42775,-0.0971494,0,0,0,0
50,17,0.051,0.142495,0.0983233,-2.45838,-0.0979893,0,0,0,0
51,17,0.051,0.141232,0.100948,-2.48234,-0.0980935,0,0,0,0
52,18,0.054,0.144597,0.105199,-2.51447,-0.0946505,0,0,0,0
53,18,0.054,0.145989,0.108523,-2.53942,-0.0931293,0,0,0,0
54,18,0.054,0.146519,0.111193,-2.55934,-0.0919995,0,0,0,0
55,19,0.057,0.149074,0.115889,-2.59188,-0.0854674,0,0,0,0
56,19,0.057,0.150042,0.118272,-2.61682,-0.0817561,0,0,0,0
57,19,0.057,0.150244,0.12018,-2.63632,-0.0794827,0,0,0,0
58,20,0.06,0.151525,0.122759,-2.66278,-0.0747852,0,0,0,0
59,20,0.06,0.151747,0.125406,-2.68323,-0.0720287,0,0,0,0
60,20,0.06,0.151403,0.127459,-2.69953,-0.0701464,0,0,0,0
61,21,0.063,0.149998,0.132535,-2.72384,-0.0683519,0,0,0,0
62,21,0.063,0.149167,0.135611,-2.74239,-0.0667444,0,0,0,0
63,21,0.063,0.148034,0.137828,-2.7571,-0.0653601,0,0,0,0
64,22,0.066,0.14779,0.140916,-2.78023,-0.0645566,0,0,0,0
65,22,0.066,0.147145,0.14328,-2.79778,-0.0633358,0,0,0,0
66,22,0.066,0.146084,0.144929,-2.8115,-0.0620701,0,0,0,0
67,23,0.069,0.144534,0.150929,-2.83149,-0.0618466,0,0,0,0
68,23,0.069,0.142865,0.154582,-2.84666,-0.0608006,0,0,0,0
69,23,0.069,0.141071,0.157143,-2.85844,-0.059546,0,0,0,0
70,24,0.072,0.138719,0.155281,-2.87433,-0.0577819,0,0,0,0
71,24,0.072,0.136904,0.154971,-2.8863,-0.0558863,0,0,0,0
72,24,0.072,0.135096,0.154655,-2.8957,-0.0541129,0,0,0,0
73,25,0.075,0.134863,0.154892,-2.90718,-0.0519536,0,0,0,0
74,25,0.075,0.133329,0.155882,-2.91584,-0.049833,0,0,0,0
