Time_s,HydraulicForceZ_dyne,Fz_uN
0.0030,153.35,1533.5
0.0060,86.169,861.69
0.0090,63.8728,638.728
0.0120,54.1995,541.995
0.0150,30.6128,306.128
0.0180,20.3484,203.484
0.0210,15.634,156.34
0.0240,13.5167,135.167
0.0270,13.4141,134.141
0.0300,12.6786,126.786
0.0330,11.9893,119.893
0.0360,10.7747,107.747
0.0390,10.4798,104.798
0.0420,9.57443,95.7443
0.0450,8.82989,88.2989
0.0480,8.13997,81.3997
0.0510,8.35674,83.5674
0.0540,8.70121,87.0121
0.0570,7.53675,75.3675
0.0600,5.30152,53.0152
0.0630,2.56988,25.6988
0.0660,1.71763,17.1763
0.0690,0.349148,3.49148
0.0720,-0.389137,-3.89137
0.0750,-32.1784,-321.784
0.0780,-4.47265,-44.7265
0.0810,-3.7408,-37.408
0.0840,-6.65233,-66.5233
0.0870,-8.16693,-81.6693
0.0900,-7.83782,-78.3782
0.0930,-7.33504,-73.3504
0.0960,-6.98939,-69.8939
0.0990,-7.27241,-72.7241
0.1020,-7.45809,-74.5809
0.1050,-6.5235,-65.235
0.1080,-6.39486,-63.9486
0.1110,-6.05253,-60.5253
0.1140,-5.79659,-57.9659
0.1170,-5.88384,-58.8384
0.1200,-5.96907,-59.6907
0.1230,-5.7182,-57.182
0.1260,-5.39352,-53.9352
0.1290,-4.75584,-47.5584
0.1320,-4.41728,-44.1728
0.1350,-4.53381,-45.3381
0.1380,-3.85564,-38.5564
0.1410,-2.33,-23.3
0.1440,-0.653476,-6.53476
0.1470,-0.414374,-4.14374
0.1500,-15.7853,-157.853
0.1530,-0.775708,-7.75708
0.1560,0.967124,9.67124
0.1590,0.229214,2.29214
0.1620,0.00317689,0.0317689
0.1650,-0.508934,-5.08934
0.1680,-0.690861,-6.90861
0.1710,-0.674604,-6.74604
0.1740,-0.798868,-7.98868
0.1770,-0.954874,-9.54874
0.1800,-1.10612,-11.0612
0.1830,-1.37961,-13.7961
0.1860,-1.7411,-17.411
0.1890,-1.81607,-18.1607
0.1920,-2.1689,-21.689
0.1950,-2.74793,-27.4793
0.1980,-2.64177,-26.4177
0.2010,-2.74938,-27.4938
0.2040,-2.29787,-22.9787
0.2070,-1.9593,-19.593
0.2100,-2.01719,-20.1719
0.2130,-1.94514,-19.4514
0.2160,-0.53642,-5.3642
0.2190,1.03031,10.3031
0.2220,0.739003,7.39003
0.2250,-11.4911,-114.911
0.2280,0.44604,4.4604
0.2310,2.11868,21.1868
