Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.003,0,100,0,1.8,0,0,-0.151666,-0.338425,153.35,-1.82263,-1.11358,-328.822
0.006,0,100,0,3.6,0,-328.822,0.271166,0.291258,86.169,0.321715,0.122438,-183.114
0.009,0,100,0,5.4,0,-183.114,0.0792439,-0.355836,63.8728,0.497624,-0.713329,-125.3
0.012,0,100,0,7.20001,0,-125.3,0.295984,-0.0505027,54.1995,0.601606,-0.06548,-99.2687
0.015,0,100,0,9.00001,0,-99.2687,0.090356,-0.0803607,30.6128,0.557523,-0.94404,-63.4123
0.018,0,100,0,10.8,0,-63.4123,0.151517,-0.310318,20.3484,1.49356,-1.82563,-49.9288
0.021,0,100,0,12.6,0,-49.9288,-0.197788,-0.0524114,15.634,-0.171087,-1.45197,-44.4533
0.024,0,100,0,14.4,0,-44.4533,0.000557228,0.055385,13.5167,0.0958825,0.0916255,-36.6568
0.027,0,100,0,16.2,0,-36.6568,-0.135467,-0.0727534,13.4141,0.422006,0.26873,-37.5372
0.03,0,100,0,18,0,-37.5372,-0.00813002,0.0431753,12.6786,0.116393,0.804933,-35.0356
0.033,0,100,0,19.8,0,-35.0356,-0.0836401,-0.0402839,11.9893,-0.446563,0.323713,-33.3404
0.036,0,100,0,21.6,0,-33.3404,0.0707588,0.0472753,10.7747,-0.0134108,0.343126,-33.5426
0.039,0,100,0,23.4,0,-33.5426,0.26695,-0.173003,10.4798,0.0219217,0.158878,-34.8884
0.042,0,100,0,25.2,0,-34.8884,0.146371,0.175025,9.57443,0.775193,0.578059,-34.1306
0.045,0,100,0,27,0,-34.1306,0.0370601,-0.0276099,8.82989,0.915415,-0.463116,-33.6894
0.048,0,100,0,28.8,0,-33.6894,-0.0240816,0.176844,8.13997,-0.531403,0.122154,-34.8484
0.051,0,100,0,30.6,0,-34.8484,-0.168399,-0.345594,8.35674,0.180851,-2.01636,-37.0682
0.054,0,100,0,32.4,0,-37.0682,0.110728,0.049132,8.70121,-0.0891972,-0.373606,-37.2597
0.057,0,100,0,34.2,0,-37.2597,0.158986,-0.0695869,7.53675,1.2619,0.812578,-39.62
