Iteration,Time Step,Time,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
1,1,0.003,0.00992146,0.0139581,-0.0999539,-0.174256,0,0,0,0
2,1,0.003,0.0121125,0.0158577,-0.140878,-0.259349,0,0,0,0
3,1,0.003,0.0135276,0.0172823,-0.137361,-0.298408,0,0,0,0
4,2,0.006,0.00787021,0.014937,-0.204123,-0.254279,0,0,0,0
5,2,0.006,0.00736286,0.0156014,-0.239936,-0.225974,0,0,0,0
6,2,0.006,0.00701827,0.016026,-0.250075,-0.208271,0,0,0,0
7,3,0.009,0.0094141,0.0188013,-0.33935,-0.173246,0,0,0,0
8,3,0.009,0.00939921,0.0194036,-0.381633,-0.149504,0,0,0,0
9,3,0.009,0.00927073,0.0198939,-0.399955,-0.135437,0,0,0,0
10,4,0.012,0.00887878,0.0324401,-0.488925,-0.124825,0,0,0,0
11,4,0.012,0.00890083,0.0331549,-0.536412,-0.11522,0,0,0,0
12,4,0.012,0.00899177,0.0334421,-0.560082,-0.108923,0,0,0,0
13,5,0.015,0.0140509,0.0373622,-0.629086,-0.0895922,0,0,0,0
14,5,0.015,0.0136685,0.0389508,-0.681998,-0.079327,0,0,0,0
15,5,0.015,0.0133514,0.039845,-0.716738,-0.0737539,0,0,0,0
16,6,0.018,0.0119274,0.0405946,-0.795288,-0.0654716,0,0,0,0
17,6,0.018,0.0115172,0.0417624,-0.85972,-0.061412,0,0,0,0
18,6,0.018,0.0112832,0.042368,-0.904418,-0.0595619,0,0,0,0
19,7,0.021,0.0134774,0.0415254,-0.983072,-0.0537922,0,0,0,0
20,7,0.021,0.0143568,0.0421389,-1.04676,-0.0516396,0,0,0,0
21,7,0.021,0.0149795,0.0425346,-1.09217,-0.0510247,0,0,0,0
22,8,0.024,0.0133875,0.0443981,-1.17276,-0.0461581,0,0,0,0
23,8,0.024,0.0128555,0.0445412,-1.23813,-0.0445756,0,0,0,0
24,8,0.024,0.0124585,0.0445452,-1.28481,-0.044291,0,0,0,0
25,9,0.027,0.0152841,0.0442629,-1.35643,-0.0396951,0,0,0,0
26,9,0.027,0.0155823,0.0442674,-1.41386,-0.0385563,0,0,0,0
27,9,0.027,0.015766,0.0442567,-1.45507,-0.0386431,0,0,0,0
28,10,0.03,0.0189873,0.0417762,-1.52127,-0.0370582,0,0,0,0
29,10,0.03,0.0194445,0.0405302,-1.57484,-0.0375143,0,0,0,0
30,10,0.03,0.0197029,0.0395523,-1.61304,-0.0385221,0,0,0,0
31,11,0.033,0.018815,0.0392137,-1.67624,-0.0389579,0,0,0,0
32,11,0.033,0.0195099,0.0378194,-1.72614,-0.0400006,0,0,0,0
33,11,0.033,0.0200158,0.0367506,-1.76141,-0.041097,0,0,0,0
34,12,0.036,0.0208864,0.0360695,-1.81066,-0.0371104,0,0,0,0
35,12,0.036,0.0209803,0.0360728,-1.85167,-0.0362826,0,0,0,0
36,12,0.036,0.0210515,0.0360527,-1.88057,-0.0365785,0,0,0,0
37,13,0.039,0.0211526,0.0362433,-1.92231,-0.0325191,0,0,0,0
38,13,0.039,0.0214324,0.0359474,-1.95846,-0.0320411,0,0,0,0
39,13,0.039,0.0215781,0.0357109,-1.98364,-0.0328264,0,0,0,0
40,14,0.042,0.0175892,0.0326531,-2.0123,-0.0340755,0,0,0,0
41,14,0.042,0.0174604,0.0315377,-2.0434,-0.036139,0,0,0,0
42,14,0.042,0.0173633,0.0307047,-2.06471,-0.0379726,0,0,0,0
43,15,0.045,0.0168982,0.03132,-2.08339,-0.0396739,0,0,0,0
44,15,0.045,0.016586,0.0313177,-2.10807,-0.0415018,0,0,0,0
45,15,0.045,0.0163663,0.0313156,-2.12469,-0.0430589,0,0,0,0
46,16,0.048,0.020403,0.0334699,-2.13421,-0.0424935,0,0,0,0
47,16,0.048,0.0216206,0.0326362,-2.15359,-0.0434282,0,0,0,0
48,16,0.048,0.0224456,0.0320652,-2.16645,-0.0445761,0,0,0,0
49,17,0.051,0.0230974,0.0363139,-2.17023,-0.0406569,0,0,0,0
50,17,0.051,0.0233287,0.0380332,-2.18881,-0.0399858,0,0,0,0
51,17,0.051,0.0234029,0.0393343,-2.20071,-0.0404754,0,0,0,0
52,18,0.054,0.0251762,0.0387726,-2.19588,-0.0363029,0,0,0,0
53,18,0.054,0.0253832,0.0382761,-2.21287,-0.0354529,0,0,0,0
54,18,0.054,0.0254278,0.0379703,-2.22338,-0.0358752,0,0,0,0
55,19,0.057,0.0230288,0.0344052,-2.20712,-0.0341824,0,0,0,0
56,19,0.057,0.0220234,0.0339901,-2.21986,-0.0347024,0,0,0,0
57,19,0.057,0.0212777,0.0336833,-2.2274,-0.0358811,0,0,0,0
58,20,0.06,0.024076,0.0414427,-2.18016,-0.0403584,0,0,0,0
59,20,0.06,0.0237067,0.0428119,-2.18815,-0.0436216,0,0,0,0
60,20,0.06,0.0234781,0.0438904,-2.19249,-0.0459323,0,0,0,0
61,21,0.063,0.02875,0.0454638,-2.09262,-0.0457356,0,0,0,0
62,21,0.063,0.0296329,0.0466682,-2.09986,-0.0464837,0,0,0,0
63,21,0.063,0.0302974,0.0476312,-2.10387,-0.0474499,0,0,0,0
64,22,0.066,0.0313647,0.0457393,-1.99848,-0.0414319,0,0,0,0
65,22,0.066,0.0313174,0.0462743,-2.0009,-0.0416717,0,0,0,0
66,22,0.066,0.0312979,0.0466786,-1.99991,-0.0430511,0,0,0,0
67,23,0.069,0.0379063,0.0520597,-1.83463,-0.0478101,0,0,0,0
68,23,0.069,0.0384905,0.052292,-1.82576,-0.0516615,0,0,0,0
69,23,0.069,0.0389433,0.0524752,-1.81669,-0.0547686,0,0,0,0
70,24,0.072,0.0384991,0.0510622,-1.6462,-0.0551892,0,0,0,0
71,24,0.072,0.0385673,0.0505819,-1.62613,-0.0573199,0,0,0,0
72,24,0.072,0.0386461,0.050271,-1.60932,-0.0597338,0,0,0,0
73,25,0.075,0.040404,0.0550589,-0.861745,-0.101542,0,0,0,0
74,25,0.075,0.0404634,0.0557375,-0.842074,-0.117915,0,0,0,0
