Time_s,HydraulicForceZ_dyne,Fz_uN
0.0030,169.004,1690.04
0.0060,176.879,1768.79
0.0090,120.981,1209.81
0.0120,83.0631,830.631
0.0150,64.6677,646.677
0.0180,56.2271,562.271
0.0210,52.6723,526.723
0.0240,53.5224,535.224
0.0270,40.5295,405.295
0.0300,29.713,297.13
0.0330,33.7209,337.209
0.0360,19.3271,193.271
0.0390,4.10815,41.0815
0.0420,-17.1831,-171.831
0.0450,-3.31639,-33.1639
0.0480,4.33562,43.3562
0.0510,2.52469,25.2469
0.0540,-2.17623,-21.7623
0.0570,-4.78606,-47.8606
0.0600,-6.4609,-64.609
0.0630,-8.28565,-82.8565
0.0660,-8.72395,-87.2395
0.0690,-6.44913,-64.4913
0.0720,-8.94578,-89.4578
0.0750,-5.3248,-53.248
0.0780,-3.65104,-36.5104
0.0810,-3.68604,-36.8604
0.0840,-4.97419,-49.7419
0.0870,-3.70653,-37.0653
0.0900,0.459824,4.59824
0.0930,0.670856,6.70856
0.0960,-0.40831,-4.0831
0.0990,-0.806682,-8.06682
0.1020,-1.6412,-16.412
0.1050,-2.38636,-23.8636
0.1080,-2.62912,-26.2912
0.1110,-1.34172,-13.4172
0.1140,-1.76922,-17.6922
0.1170,-1.03733,-10.3733
0.1200,1.69887,16.9887
0.1230,-0.688347,-6.88347
0.1260,1.97817,19.7817
0.1290,5.69531,56.9531
0.1320,1.64073,16.4073
0.1350,2.25009,22.5009
0.1380,1.66917,16.6917
0.1410,1.21212,12.1212
0.1440,0.230479,2.30479
0.1470,0.130478,1.30478
0.1500,0.285655,2.85655
0.1530,0.74245,7.4245
0.1560,0.487795,4.87795
0.1590,0.35188,3.5188
0.1620,1.95098,19.5098
0.1650,0.949613,9.49613
0.1680,1.65642,16.5642
0.1710,7.69812,76.9812
0.1740,0.878125,8.78125
0.1770,2.32734,23.2734
0.1800,2.14415,21.4415
0.1830,1.50871,15.0871
0.1860,0.897268,8.97268
0.1890,1.07127,10.7127
0.1920,0.349936,3.49936
0.1950,1.87219,18.7219
0.1980,2.55515,25.5515
0.2010,1.45588,14.5588
0.2040,2.30605,23.0605
0.2070,2.80587,28.0587
0.2100,2.1296,21.296
0.2130,0.255526,2.55526
0.2160,1.32216,13.2216
0.2190,2.27056,22.7056
0.2220,3.22129,32.2129
0.2250,0.981976,9.81976
0.2280,2.3674,23.674
0.2310,1.71595,17.1595
0.2340,1.61955,16.1955
0.2370,1.42664,14.2664
0.2400,3.09202,30.9202
0.2430,2.27192,22.7192
0.2460,3.32344,33.2344
0.2490,3.606,36.06
0.2520,2.35137,23.5137
0.2550,3.10123,31.0123
0.2580,1.82438,18.2438
0.2610,3.92209,39.2209
0.2640,3.10367,31.0367
0.2670,2.40503,24.0503
0.2700,2.31271,23.1271
0.2730,1.04359,10.4359
0.2760,1.04807,10.4807
0.2790,1.48344,14.8344
0.2820,2.12397,21.2397
0.2850,2.5929,25.929
0.2880,2.02106,20.2106
0.2910,4.68619,46.8619
0.2940,2.90301,29.0301
0.2970,4.60918,46.0918
0.3000,14.7226,147.226
0.3030,2.53135,25.3135
0.3060,2.94337,29.4337
0.3090,2.81228,28.1228
0.3120,1.68188,16.8188
0.3150,1.3251,13.251
0.3180,1.17058,11.7058
0.3210,1.36149,13.6149
0.3240,2.59819,25.9819
0.3270,2.36437,23.6437
0.3300,1.82902,18.2902
0.3330,3.19319,31.9319
0.3360,3.21651,32.1651
0.3390,3.43261,34.3261
0.3420,2.19232,21.9232
0.3450,2.2229,22.229
0.3480,3.84723,38.4723
0.3510,3.8718,38.718
0.3540,2.52487,25.2487
0.3570,2.67163,26.7163
0.3600,2.32749,23.2749
0.3630,1.24024,12.4024
0.3660,1.79033,17.9033
0.3690,4.01829,40.1829
0.3720,2.04213,20.4213
0.3750,2.99256,29.9256
0.3780,4.52575,45.2575
0.3810,3.74966,37.4966
0.3840,1.15189,11.5189
0.3870,1.38345,13.8345
0.3900,4.42163,44.2163
0.3930,3.17205,31.7205
0.3960,3.01676,30.1676
0.3990,2.69952,26.9952
0.4020,2.57982,25.7982
0.4050,1.9104,19.104
0.4080,1.94582,19.4582
0.4110,3.6599,36.599
0.4140,3.01872,30.1872
0.4170,3.12693,31.2693
0.4200,5.28903,52.8903
0.4230,2.97203,29.7203
0.4260,5.1555,51.555
0.4290,10.8766,108.766
0.4320,3.77139,37.7139
0.4350,3.1948,31.948
0.4380,2.21202,22.1202
0.4410,2.41729,24.1729
0.4440,1.43206,14.3206
0.4470,0.965534,9.65534
0.4500,1.61225,16.1225
0.4530,2.66421,26.6421
0.4560,2.29882,22.9882
0.4590,1.97302,19.7302
0.4620,4.35424,43.5424
0.4650,3.72213,37.2213
0.4680,4.80521,48.0521
0.4710,14.5837,145.837
0.4740,2.34378,23.4378
0.4770,3.96351,39.6351
0.4800,2.69197,26.9197
0.4830,2.4568,24.568
0.4860,1.92678,19.2678
0.4890,1.5968,15.968
0.4920,0.628196,6.28196
0.4950,2.21175,22.1175
0.4980,2.84222,28.4222
0.5010,2.26581,22.6581
0.5040,2.97458,29.7458
0.5070,4.3011,43.011
0.5100,3.57801,35.7801
0.5130,0.818712,8.18712
0.5160,3.16323,31.6323
0.5190,4.46761,44.6761
0.5220,4.51443,45.1443
0.5250,2.50011,25.0011
0.5280,4.14172,41.4172
0.5310,2.71638,27.1638
0.5340,2.63337,26.3337
0.5370,1.78835,17.8835
0.5400,3.6837,36.837
0.5430,1.97296,19.7296
0.5460,3.48445,34.8445
0.5490,4.44185,44.4185
0.5520,3.27065,32.7065
0.5550,3.25514,32.5514
0.5580,2.80798,28.0798
0.5610,5.41101,54.1101
0.5640,4.61282,46.1282
0.5670,4.01107,40.1107
0.5700,3.37549,33.7549
0.5730,2.49107,24.9107
0.5760,2.31376,23.1376
0.5790,2.41267,24.1267
0.5820,3.15314,31.5314
0.5850,3.38365,33.8365
0.5880,2.82666,28.2666
0.5910,5.78667,57.8667
0.5940,4.06516,40.6516
0.5970,5.22379,52.2379
0.6000,17.7474,177.474
0.6030,3.06779,30.6779
0.6060,3.61163,36.1163
0.6090,3.75112,37.5112
0.6120,2.18161,21.8161
0.6150,1.55205,15.5205
0.6180,1.70619,17.0619
0.6210,1.92334,19.2334
0.6240,2.9289,29.289
0.6270,3.4516,34.516
0.6300,2.62198,26.2198
0.6330,4.17394,41.7394
0.6360,4.58903,45.8903
0.6390,4.61735,46.1735
0.6420,3.43301,34.3301
0.6450,2.77732,27.7732
0.6480,4.87305,48.7305
0.6510,4.7076,47.076
0.6540,2.26924,22.6924
0.6570,2.99257,29.9257
0.6600,2.7851,27.851
0.6630,1.93426,19.3426
0.6660,2.2646,22.646
0.6690,4.70514,47.0514
0.6720,3.01557,30.1557
0.6750,3.90645,39.0645
0.6780,5.40857,54.0857
0.6810,4.63202,46.3202
0.6840,1.7542,17.542
0.6870,2.43605,24.3605
0.6900,5.56778,55.6778
0.6930,4.51204,45.1204
0.6960,3.15415,31.5415
0.6990,3.19026,31.9026
0.7020,2.88064,28.8064
0.7050,1.97877,19.7877
0.7080,1.96675,19.6675
0.7110,3.7681,37.681
0.7140,2.99757,29.9757
0.7170,3.38393,33.8393
0.7200,5.63749,56.3749
0.7230,3.50382,35.0382
0.7260,5.4813,54.813
0.7290,12.4061,124.061
0.7320,3.74942,37.4942
0.7350,3.56561,35.6561
0.7380,2.68236,26.8236
0.7410,2.48618,24.8618
0.7440,1.51801,15.1801
0.7470,1.57451,15.7451
0.7500,1.99215,19.9215
0.7530,2.7974,27.974
0.7560,2.6191,26.191
0.7590,2.37624,23.7624
0.7620,4.49844,44.9844
0.7650,3.6862,36.862
0.7680,4.57515,45.7515
0.7710,14.629,146.29
0.7740,2.42961,24.2961
0.7770,3.77206,37.7206
0.7800,3.02013,30.2013
0.7830,2.27026,22.7026
0.7860,1.33031,13.3031
0.7890,1.49993,14.9993
0.7920,0.572584,5.72584
0.7950,2.47249,24.7249
0.7980,3.2333,32.333
0.8010,1.97032,19.7032
0.8040,3.14326,31.4326
0.8070,4.09244,40.9244
0.8100,3.41162,34.1162
0.8130,0.906199,9.06199
0.8160,2.76101,27.6101
0.8190,4.29129,42.9129
0.8220,4.94434,49.4434
0.8250,2.04887,20.4887
0.8280,3.2822,32.822
0.8310,2.44074,24.4074
0.8340,2.27547,22.7547
0.8370,1.76129,17.6129
0.8400,3.41721,34.1721
0.8430,2.20725,22.0725
0.8460,3.50962,35.0962
0.8490,4.03605,40.3605
0.8520,2.63767,26.3767
0.8550,3.30048,33.0048
0.8580,2.77213,27.7213
0.8610,5.40451,54.0451
0.8640,4.38183,43.8183
0.8670,3.50902,35.0902
0.8700,3.31109,33.1109
0.8730,1.77656,17.7656
0.8760,1.84253,18.4253
0.8790,2.19253,21.9253
0.8820,2.70348,27.0348
0.8850,3.02178,30.2178
0.8880,2.3712,23.712
0.8910,5.21746,52.1746
0.8940,3.24496,32.4496
0.8970,5.01097,50.1097
0.9000,16.3639,163.639
0.9030,2.8078,28.078
0.9060,3.34384,33.4384
0.9090,3.131,31.31
0.9120,2.02929,20.2929
0.9150,1.6688,16.688
0.9180,1.43365,14.3365
0.9210,1.63089,16.3089
0.9240,3.04257,30.4257
0.9270,2.89586,28.9586
0.9300,2.1742,21.742
0.9330,3.74619,37.4619
0.9360,3.85702,38.5702
0.9390,3.96203,39.6203
0.9420,2.39897,23.9897
0.9450,2.17902,21.7902
0.9480,4.00977,40.0977
0.9510,3.93906,39.3906
0.9540,2.40986,24.0986
0.9570,2.68599,26.8599
0.9600,2.28875,22.8875
0.9630,1.16406,11.6406
0.9660,1.83215,18.3215
0.9690,4.08512,40.8512
0.9720,2.16457,21.6457
0.9750,3.28394,32.8394
0.9780,5.00685,50.0685
0.9810,4.31196,43.1196
0.9840,1.63572,16.3572
0.9870,1.89272,18.9272
0.9900,4.87209,48.7209
0.9930,3.42286,34.2286
0.9960,3.16879,31.6879
0.9990,2.70642,27.0642
1.0020,2.57789,25.7789
1.0050,1.85251,18.5251
1.0080,1.83611,18.3611
1.0110,3.52951,35.2951
1.0140,2.83233,28.3233
1.0170,2.95122,29.5122
1.0200,5.23442,52.3442
1.0230,2.86981,28.6981
1.0260,5.18827,51.8827
1.0290,11.5109,115.109
1.0320,3.97043,39.7043
1.0350,3.39734,33.9734
1.0380,2.32813,23.2813
1.0410,2.47803,24.7803
1.0440,1.5764,15.764
1.0470,1.14089,11.4089
1.0500,1.74704,17.4704
1.0530,2.7448,27.448
1.0560,2.39352,23.9352
1.0590,2.02039,20.2039
1.0620,4.24918,42.4918
1.0650,3.50156,35.0156
1.0680,4.52681,45.2681
1.0710,14.2457,142.457
1.0740,2.25916,22.5916
1.0770,3.74962,37.4962
1.0800,2.51414,25.1414
1.0830,2.32699,23.2699
1.0860,1.88093,18.8093
1.0890,1.68299,16.8299
1.0920,0.775787,7.75787
1.0950,2.31762,23.1762
1.0980,3.02073,30.2073
1.1010,2.54135,25.4135
1.1040,3.17596,31.7596
1.1070,4.38878,43.8878
1.1100,3.69405,36.9405
1.1130,0.947234,9.47234
1.1160,3.08895,30.8895
1.1190,4.09697,40.9697
1.1220,4.2303,42.303
1.1250,2.26519,22.6519
1.1280,3.93789,39.3789
1.1310,2.56462,25.6462
1.1340,2.51721,25.1721
1.1370,1.84028,18.4028
1.1400,3.66425,36.6425
1.1430,2.12743,21.2743
1.1460,3.63804,36.3804
1.1490,4.50857,45.0857
1.1520,3.32816,33.2816
1.1550,3.61524,36.1524
1.1580,3.06632,30.6632
1.1610,5.34069,53.4069
