Time (sec),Linear Velocity (cm/s),Angular Velocity (RPM),Linear Displacement (centimeter),Angular Displacement (deg),Force (dyne),Torque (dyne-cm),Hydraulic ForceX (dyne),Hydraulic ForceY (dyne),Hydraulic ForceZ (dyne),Hydraulic TorqueX (dyne-cm),Hydraulic TorqueY (dyne-cm),Hydraulic TorqueZ (dyne-cm)
0.003,0,100,0,1.8,0,0,-0.395274,-0.90863,169.004,4.07094,-3.77885,-1111.89
0.006,0,100,0,3.6,0,-1111.89,1.09718,-0.694975,176.879,6.68981,-0.672404,-831.682
0.009,0,100,0,5.4,0,-831.682,0.780876,-1.21181,120.981,6.11726,-3.79338,-602.741
0.012,0,100,0,7.20001,0,-602.741,0.53297,-1.16687,83.0631,7.76742,-2.97201,-476.66
0.015,0,100,0,9.00001,0,-476.66,0.219218,0.122283,64.6677,4.2505,-2.80459,-421.087
0.018,0,100,0,10.8,0,-421.087,-0.151295,-0.34745,56.2271,4.35575,-1.93957,-384.854
0.021,0,100,0,12.6,0,-384.854,0.464374,-0.568999,52.6723,5.99648,-0.32377,-380.447
0.024,0,100,0,14.4,0,-380.447,0.348567,-0.170735,53.5224,2.98665,-2.50983,-377.21
0.027,0,100,0,16.2,0,-377.21,-0.153495,-0.350092,40.5295,1.33379,-2.05099,-377.821
0.03,0,100,0,18,0,-377.821,0.35408,-0.473098,29.713,2.10461,-1.34266,-365.743
0.033,0,100,0,19.8,0,-365.743,0.574488,-0.771967,33.7209,2.73147,-2.43077,-347.965
0.036,0,100,0,21.6,0,-347.965,-0.0809985,-0.861434,19.3271,-0.535211,-1.62327,-355.675
0.039,0,100,0,23.4,0,-355.675,-0.234403,0.0700101,4.10815,-2.26227,2.30348,-339.861
0.042,0,100,0,25.2,0,-339.861,0.0942875,0.680249,-17.1831,-5.31475,3.58347,-253.302
0.045,0,100,0,27,0,-253.302,-0.0247372,-0.188195,-3.31639,-1.12186,1.40049,-193.463
0.048,0,100,0,28.8,0,-193.463,0.397237,-0.230038,4.33562,-0.382448,1.53817,-156.56
0.051,0,100,0,30.6,0,-156.56,0.48447,-0.431961,2.52469,0.729838,1.02542,-131.949
0.054,0,100,0,32.4,0,-131.949,0.330626,-0.233343,-2.17623,-0.48587,1.36463,-103.868
0.057,0,100,0,34.2,0,-103.868,0.0319489,-0.0334876,-4.78606,-1.27415,-0.275036,-94.3317
0.06,0,100,0,36,0,-94.3317,0.301179,0.308283,-6.4609,-1.90809,1.48737,-90.1574
0.063,0,100,0,37.8,0,-90.1574,0.0503186,0.00265904,-8.28565,-0.878292,1.49093,-86.7468
0.066,0,100,0,39.6,0,-86.7468,0.187182,0.119856,-8.72395,-2.18095,1.58152,-79.0494
0.069,0,100,0,41.4,0,-79.0494,0.0521533,0.184331,-6.44913,-2.2689,2.0452,-79.4563
0.072,0,100,0,43.2,0,-79.4563,0.193474,0.3999,-8.94578,-3.27926,2.37499,-78.1882
0.075,0,100,0,45,0,-78.1882,0.0941472,0.418051,-5.3248,-3.1156,2.00802,-84.8998
0.078,0,100,0,46.8,0,-84.8998,0.0730333,0.161915,-3.65104,-1.85069,1.30313,-79.9129
0.081,0,100,0,48.6,0,-79.9129,-0.0461871,0.0686986,-3.68604,-1.52569,0.619314,-89.4205
0.084,0,100,0,50.4,0,-89.4205,-0.0252669,0.288544,-4.97419,-1.45664,1.8619,-71.4279
0.087,0,100,0,52.2,0,-71.4279,-0.228105,0.189898,-3.70653,-1.60448,0.374583,-63.7981
0.09,0,100,0,54,0,-63.7981,-0.137983,0.155563,0.459824,-1.01153,-0.411913,-58.2777
0.093,0,100,0,55.8,0,-58.2777,0.154825,-0.0642699,0.670856,0.0292206,0.188613,-51.6688
0.096,0,100,0,57.6,0,-51.6688,0.108561,-0.00739112,-0.40831,-0.189257,0.598685,-49.9389
0.099,0,100,0,59.4,0,-49.9389,0.0523909,-0.00810879,-0.806682,0.167257,-0.460855,-47.7786
0.102,0,100,0,61.2,0,-47.7786,0.0385773,-0.0392001,-1.6412,-0.0569811,-0.363344,-47.6563
0.105,0,100,0,63,0,-47.6563,0.134883,0.123363,-2.38636,-1.07055,1.23335,-46.5891
